state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,state_tax_collection,income_per_capita,known_property_crimes,unemployment_rate
Texas,2001,4021535.0,30868844,2631160,12688089,15549595,33201450,15916451,9050782,1476787.0,4898465,3860613.0,,,,,,7038.5997087,0.305,21319622.000000004,44784,,29394,969948.0,0.04958333333333333
Utah,2001,477380.0,2741771,228659,1588164,924948,2669621,1438459,653354,200475.0,311553,448557.0,,,,,,5029.2517308999995,0.26899999999999996,2283715.0,38849,162754000.0,24797,88924.0,0.04408333333333334
Vermont,2001,97715.0,1300273,60383,732580,507310,1306513,595191,303287,28777.0,62053,96996.0,,,,,,9558.5352498,0.31,612223.0000000001,37618,44606000.0,30505,14924.0,0.03308333333333334
Virginia,2001,1143807.0,9493862,531724,3976620,4985518,9862715,5142049,2865861,378979.0,1113113,1099677.0,,,,,,7664.4666689999995,0.18,7198361.999999999,48194,363757000.0,34064,197620.0,0.03233333333333333
Washington,2001,1004843.0,7936037,561773,5032514,2341750,8026334,3984476,2330122,367295.0,1028063,931533.0,,,,,,7312.0389896,0.23600000000000002,5985722.0,48408,,33170,281459.0,0.06291666666666668
West Virginia,2001,285785.0,2321731,244971,1388046,688714,2310098,1306105,699263,159933.0,131916,262581.0,,,,,,8147.976933399999,0.23600000000000002,1801481.0,32263,214297000.0,23576,37104.0,0.050249999999999996
Wisconsin,2001,875569.0,8363904,398365,4517924,3447615,8574804,4434212,2495299,280656.0,943973,821934.0,,,,,,8797.4071325,0.191,5406835.0,42078,495449000.0,30910,164387.0,0.045250000000000005
Wyoming,2001,89711.0,804297,69172,403021,332104,787949,426072,254937,24913.0,67913,81734.0,,,,,,8465.5124395,0.363,494657.0,53656,,30681,16042.0,0.03799999999999999
Alabama,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,701235.0,,,,,,6327.2278826,0.233,4480089.0,34068,322636000.0,25485,163873.0,0.05899999999999999
Alaska,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,123145.0,,,,,,10419.202026,0.16399999999999998,642337.0,60101,269273000.0,34271,22909.0,0.073
Arizona,2002,859588.0,6192222,619869,2825228,2747125,6018188,2659448,1833852,286945.0,966925,868547.0,,,,,,6469.522083,0.184,5396255.0,39323,346280000.0,27154,312634.0,0.061000000000000006
Arkansas,2002,449161.0,3147921,331069,2334551,482301,3087453,1697645,910208,165003.0,239177,418775.0,,,,,,6676.3555415,0.17300000000000001,2705927.0,32514,176874000.0,24237,96788.0,0.054749999999999986
California,2002,6136915.0,54727056,5084409,31005317,18637330,56464225,28593157,15568570,2882414.0,6998522,6312362.0,,,,,,7439.195031,0.223,34871843.0,47880,5333036000.0,33901,1174687.0,0.06649999999999999
Colorado,2002,741319.0,5849588,338856,2460333,3050399,6237142,2963406,1967267,225545.0,779315,709349.0,,,,,,7283.6368972,0.22399999999999998,4490406.0,50870,205217000.0,34805,165219.0,0.055250000000000014
