"region","series","Unit","Date","Value"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","117694"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","96146"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","125860"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","141986"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","76769"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","93490"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","103784"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","140585"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","198302"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","188229"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","190194"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","142240"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","98327"
